array_type,objective,optimizer,freq_hz,num_elements,num_params,time_s,final_objective,directivity_dbi,cone_power_percent,steering_efficiency,gain_at_target_dbi,peak_theta_deg,peak_phi_deg
grid,directivity,Gradient,10000000000.0,16,34,7.80280613899231,19.176699860566615,19.176699860566615,72.04148549030583,0.9985283168302512,19.170303714063547,0.5,11.0
grid,cone_power,Gradient,10000000000.0,16,34,3.797858476638794,0.9715108407188792,18.44416689038019,97.15108407188792,0.9999999999999634,18.44416689038019,0.0,0.0
grid,beam_steering,PSO,10000000000.0,16,34,102.29497027397156,117.90020830596188,17.900208305972086,0.0,0.999999999999898,17.900208305972086,30.0,45.0
hexagonal,directivity,Gradient,28000000000.0,19,40,4.169133424758911,19.893887312796103,19.893887312796103,80.78541910097981,0.999999999999989,19.893887312796103,0.0,0.0
hexagonal,cone_power,PSO,28000000000.0,19,40,81.57830238342285,0.970780375900127,18.633984404166664,97.0780375900127,0.0,0.0,0.0,0.0
hexagonal,beam_steering,Gradient,28000000000.0,19,40,2.4462873935699463,21.76167544460806,15.501781031181753,45.78544581641207,0.14612614994601314,7.149060450006744,0.0,0.0
spiral,directivity,Gradient,6500000000.0,16,49,3.9541523456573486,21.92449779752895,21.92449779752895,61.14387584292893,0.999999999999941,21.92449779752895,0.0,0.0
spiral,cone_power,Gradient,6500000000.0,16,49,4.074946165084839,0.978912490892545,18.987008017047607,97.8912490892545,0.99999999999992,18.987008017047607,0.0,0.0
spiral,beam_steering,PSO,6500000000.0,16,49,104.21457576751709,118.6197518514694,18.620124125406726,0.0,0.9999964322081294,18.62010863065646,29.5,45.0
